Date,Ordered Product Sales,Units Ordered,Total Order Items,Page Views - Total,Sessions - Total,Featured Offer (Buy Box) Percentage,Unit Session Percentage,Average Offer Count,Average Parent Items
15/08/2024,"AED 2,607.26",29,29,"17,158","11,091",3.71%,0.26%,"5,263","4,727"
16/08/2024,"AED 2,972.38",31,24,"16,593","10,897",3.89%,0.28%,"5,270","4,731"
17/08/2024,"AED 5,000.00",51,38,"17,439","11,618",4.08%,0.44%,"5,271","4,732"
18/08/2024,"AED 7,288.00",64,49,"18,701","12,434",5.25%,0.51%,"5,258","4,728"
19/08/2024,"AED 4,596.62",41,39,"18,171","12,352",4.49%,0.33%,"5,252","4,727"
20/08/2024,"AED 5,592.81",40,37,"18,034","12,155",4.54%,0.33%,"5,253","4,726"
21/08/2024,"AED 4,084.00",36,34,"17,966","11,918",4.55%,0.30%,"5,252","4,726"
22/08/2024,"AED 3,588.48",31,25,"17,815","11,993",4.25%,0.26%,"5,345","4,803"
23/08/2024,"AED 4,631.50",47,39,"18,097","12,231",4.39%,0.38%,"5,405","4,867"
24/08/2024,"AED 6,471.11",58,52,"18,980","12,718",4.86%,0.46%,"5,435","4,877"
25/08/2024,"AED 7,638.60",79,64,"19,338","12,831",4.87%,0.62%,"5,462","4,910"
26/08/2024,"AED 5,990.06",73,51,"18,929","12,584",4.99%,0.58%,"5,483","4,933"
27/08/2024,"AED 8,319.94",74,59,"19,999","13,003",5.25%,0.57%,"5,500","4,947"
28/08/2024,"AED 5,112.80",58,46,"19,202","12,862",4.30%,0.45%,"5,564","5,006"
29/08/2024,"AED 6,413.02",54,44,"19,570","13,034",4.27%,0.41%,"5,556","5,000"
30/08/2024,"AED 5,790.06",50,45,"18,947","12,730",3.99%,0.39%,"5,545","4,996"
31/08/2024,"AED 5,096.32",45,40,"19,950","13,534",4.26%,0.33%,"5,539","4,997"
01/09/2024,"AED 5,453.84",49,45,"21,355","13,932",3.99%,0.35%,"5,531","4,997"
02/09/2024,"AED 5,404.54",52,45,"20,695","13,817",4.05%,0.38%,"5,523","4,995"
03/09/2024,"AED 5,650.26",45,40,"22,505","15,133",3.65%,0.30%,"5,519","4,998"
04/09/2024,"AED 5,361.88",51,49,"21,666","14,504",3.41%,0.35%,"5,522","4,998"
05/09/2024,"AED 3,631.83",39,36,"21,243","14,002",3.77%,0.28%,"5,519","4,993"
06/09/2024,"AED 3,189.71",43,29,"20,892","14,162",4.07%,0.30%,"5,515","4,990"
07/09/2024,"AED 4,580.71",40,36,"21,698","14,113",4.13%,0.28%,"5,510","4,987"
08/09/2024,"AED 4,253.73",39,36,"21,007","13,868",3.68%,0.28%,"5,507","4,992"
09/09/2024,"AED 4,830.45",48,40,"20,007","13,052",5.11%,0.37%,"5,504","4,991"
10/09/2024,"AED 5,795.29",48,43,"18,228","12,295",5.08%,0.39%,"5,515","4,992"
11/09/2024,"AED 5,598.61",47,45,"18,443","12,373",5.74%,0.38%,"5,514","4,994"
12/09/2024,"AED 6,701.18",61,40,"17,696","11,606",5.71%,0.53%,"5,514","4,986"
13/09/2024,"AED 6,684.50",52,48,"16,690","11,215",6.20%,0.46%,"5,499","4,981"
14/09/2024,"AED 5,103.69",54,47,"17,598","11,571",5.31%,0.47%,"5,499","4,978"
15/09/2024,"AED 5,959.00",50,44,"19,877","12,947",4.80%,0.39%,"5,503","4,982"
16/09/2024,"AED 7,189.90",61,57,"19,134","12,639",4.68%,0.48%,"5,510","4,983"
17/09/2024,"AED 4,925.44",44,35,"19,007","12,533",4.82%,0.35%,"5,506","4,981"
18/09/2024,"AED 4,324.18",52,35,"17,848","11,935",4.55%,0.44%,"5,507","4,976"
19/09/2024,"AED 4,672.60",40,36,"18,320","11,977",3.97%,0.33%,"5,502","4,972"
20/09/2024,"AED 3,304.33",30,27,"16,827","11,169",3.79%,0.27%,"5,502","4,973"
21/09/2024,"AED 4,974.26",32,31,"17,926","11,613",4.15%,0.28%,"5,503","4,973"
22/09/2024,"AED 3,402.68",29,28,"18,982","12,576",3.45%,0.23%,"5,502","4,973"
23/09/2024,"AED 4,651.00",32,25,"18,369","12,360",3.15%,0.26%,"5,508","4,973"
